name,time,value
humidity,1657992455268239797,52
humidity,1657992464532575210,53
humidity,1657992473799260785,52
humidity,1657992483058231772,52
humidity,1657992492319550900,52
humidity,1657992501577495564,52
humidity,1657992510825992026,52
humidity,1657992520088787959,52
humidity,1657992529357196100,52
humidity,1657992538609009651,52
humidity,1657992547870001385,52
humidity,1657992557128993969,52
humidity,1657992566393818325,52
humidity,1657992575665018744,52
humidity,1657992584910428409,52
humidity,1657992594172210957,52
humidity,1657992603442400401,52
humidity,1657992612700281818,52
humidity,1657992621968372235,52
humidity,1657992631240803778,52
humidity,1657992640477446315,52
humidity,1657992649735464458,52
humidity,1657992658998497622,52
humidity,1657992668249684313,52
humidity,1657992677524821800,52
humidity,1657992686796499261,52
humidity,1657992696040533059,52
humidity,1657992705292720911,52
humidity,1657992714571676283,52
humidity,1657992723844648366,52
humidity,1657992733109361851,52
humidity,1657992742384713869,52
humidity,1657992751660928513,52
humidity,1657992760920956030,52
humidity,1657992770190874808,52
humidity,1657992779450932509,52
humidity,1657992788703998308,52
humidity,1657992797979997786,53
humidity,1657992807237198924,52
humidity,1657992816506190667,52
humidity,1657992825764042189,52
humidity,1657992835033165594,52
humidity,1657992844304039439,53
humidity,1657992853579325494,52
humidity,1657992862853375072,52
humidity,1657992872125351183,52
humidity,1657992881390712117,52
humidity,1657992890652349654,52
humidity,1657992899914463845,52
humidity,1657992909172482551,52
humidity,1657992918429493502,52
humidity,1657992927699598012,52
humidity,1657992936967666611,52
humidity,1657992946237670660,52
humidity,1657992955484699603,52
humidity,1657992964754630690,53
humidity,1657992974021876064,52
humidity,1657992983285549143,52
humidity,1657992992540021700,53
humidity,1657993001799168072,52
humidity,1657993011054094921,52
humidity,1657993020322097423,52
humidity,1657993029591024559,52
humidity,1657993038843090450,52
humidity,1657993048123998699,52
humidity,1657993057385173004,52
humidity,1657993066651615556,52
humidity,1657993075917223486,52
humidity,1657993085176215019,52
humidity,1657993094444965606,52
humidity,1657993103704483010,52
humidity,1657993112980469567,53
humidity,1657993122245801840,52
